image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.831762,car,car,True
drive_022,2,5,0.916229,truck,bus,False
drive_022,3,2,0.978519,bus,van,False
drive_022,4,1,0.888271,car,car,True
drive_033,1,2,0.914382,truck,bus,False
drive_033,3,9,0.902381,car,car,True
drive_033,4,3,0.852736,car,car,True
drive_033,5,4,0.790586,car,car,True
drive_033,6,7,0.914007,car,car,True
drive_033,7,5,0.887365,car,car,True
drive_033,8,6,0.746907,car,car,True
drive_033,9,8,0.91259,car,car,True
drive_033,10,12,0.907982,bus,van,False
drive_033,11,10,0.827101,car,car,True
drive_033,12,1,0.985977,bus,van,False
drive_033,13,11,0.874082,car,car,True
drive_038,1,14,0.859004,car,car,True
drive_038,2,8,0.885228,car,car,True
drive_038,3,10,0.932228,car,car,True
drive_038,4,7,0.895447,car,car,True
drive_038,5,11,0.870625,car,car,True
drive_038,8,12,0.928038,car,car,True
drive_038,13,6,0.847825,car,car,True
drive_038,14,16,0.769279,car,car,True
drive_038,15,17,0.957495,car,car,True
drive_038,16,13,0.908609,car,car,True
drive_038,17,5,0.890463,truck,bus,False
drive_038,18,2,0.936032,car,car,True
drive_038,19,3,0.929662,car,car,True
drive_038,20,4,0.934224,car,car,True
drive_038,21,1,0.948933,car,car,True
drive_038,22,9,0.906455,truck,bus,False
drive_008,1,15,0.136629,car,car,True
drive_008,2,2,0.874089,car,car,True
drive_008,3,16,0.966122,car,car,True
drive_008,6,14,0.824306,car,car,True
drive_008,7,6,0.885166,car,car,True
drive_008,9,5,0.824801,van,truck,False
drive_008,10,4,0.915661,car,car,True
drive_008,11,13,0.651222,car,car,True
drive_008,13,7,0.828049,car,car,True
drive_008,16,12,0.896058,van,truck,False
drive_008,17,9,0.977666,bus,van,False
drive_008,18,11,0.940644,car,car,True
drive_008,19,1,0.845888,truck,bus,False
drive_008,20,3,0.911582,van,truck,False
